Symbol,Sector,Close,EMA_20,Price_vs_EMA,RSI,Momentum,RS_Score,RS_Value,Vol_Ratio,Vol_Score,Mom_Score,EMA_Score,Total_Score,Signal,Emoji,Trend,Score_Trend,Trend_Emoji,Date,Timestamp
ADANIENT,Diversified,2716.0,2434.2132958532698,11.576089269858128,75.81354443072516,83.71042888800588,35,17.654992285310918,2.2136672656106824,25,55,30,145,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
SAIL,Metals & Mining,192.39999389648438,183.60471378310882,4.790334590083219,61.3926370880904,66.56096182234278,35,9.779648613559385,0.8016631679150232,0,50,20,105,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
OIL,Energy,518.2999877929688,483.05494096752983,7.296281196264181,66.8679305148361,76.19691774354118,35,14.427761794149601,0.5506246618699773,-15,55,25,100,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
ADANIPOWER,Power & Utilities,221.3300018310547,213.7034226805511,3.5687679003176114,61.99501076414744,43.5099318424939,25,7.107878131434508,1.1435802193642721,0,50,20,95,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
TATASTEEL,Metals & Mining,216.83999633789062,213.17184572849985,1.720748158301642,58.11255577665064,64.26460362195982,15,3.9052220726074167,1.3375489209834686,10,50,15,90,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
ASIANPAINT,FMCG,2605.60009765625,2506.9617943443145,3.934575450430186,63.5668610240054,74.7230065809154,25,5.227837000623894,0.7501353625842297,-15,50,20,80,STRONG BUY,🟢,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
ITC,FMCG,309.45001220703125,306.84493687849204,0.8489875554214545,54.04126143276086,40.419983684767146,15,3.0019726014532484,0.7071297328881527,-15,45,5,50,HOLD,🟡,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
HINDUNILVR,FMCG,2272.199951171875,2267.308059508937,0.21575769743427303,51.927127020605404,38.99776329969997,15,2.6067072655166195,0.5466648647735172,-15,20,5,25,HOLD,🟡,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
LT,Infrastructure,3909.0,3962.3026209444724,-1.345243562738451,46.495160549946746,31.225980996228515,-15,-0.8630489103911991,0.5073568970330702,-15,10,-10,-30,SELL,🔴,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
PFC,Power Finance,445.75,450.5246892344263,-1.0598063432527787,48.916445037769066,32.73371413880446,-15,-1.500282758293697,0.4881990619692879,-15,10,-10,-30,SELL,🔴,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
IRCTC,Railways & Tourism,535.9500122070312,547.712223188019,-2.1475166123780385,43.35518684942236,30.246395088857312,-25,-2.879967754580437,0.41776417074354155,-15,10,-20,-50,STRONG SELL,🔴,Bullish,NEW,🆕,2026-05-15,2026-05-15 22:14:53
